,classes,relations
002869,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002870,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0  48 108   0   0
   0   0   0]",[ 0 12  0  0 66]
002873,[ 0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 36  0  0  0],[ 0  0  0  0 21]
002881,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 1]
002899,"[  0   0   0   0   0   0  11   0   0   0   0   0   0   0   0 121   0   0
   0   0   0]",[ 0 25  0  4 37]
002906,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002914,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
002919,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002931,"[  0   0   0   0   0 238   0   0   0   0   0   0   0   0   0  34   0   0
  17   0  17]",[  0  12   3   0 138]
002934,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002937,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002939,[0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 0 3],[0 2 1 0 3]
002953,[ 0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  8],[0 4 0 0 6]
002956,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002957,[0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 1 0]
002958,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002962,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2],[0 1 0 0 2]
002969,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002975,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0],[0 0 0 1 0]
002976,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
002987,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
002988,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002989,[ 0  0  0  0  0  0  0  0  0 24  0  0  0  0  0  0  0  0 12  0  6],[ 0  4  0  0 17]
002990,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
002992,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
002995,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003002,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0],[0 0 0 0 1]
003003,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0],[0 2 0 0 4]
003007,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003011,[ 0  0  0  0  0  0  0  0  0 21  0  7  0  0  0  0  0  0 14  0 14],[ 0  3  0  0 25]
003013,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003024,[ 0  0  8  0  0  0  0  0  0  8  0  0  0  0  0  8 24  0  8  0 16],[ 0  5  0  0 31]
003027,[0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0],[0 3 0 0 0]
003034,[ 0  0  0  0  0  0  0  0  0 12  0  6  0  0  0 12  6  0  6  0  0],[ 0  2  1  1 17]
003042,[ 0  0  0  0  0  0  0  0  0 27  0 36  0  0  0 27  0  0  0  0  0],[ 0 14  0  0 31]
003047,[0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 3]
003051,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003053,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0],[0 0 0 0 3]
003061,[0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 3]
003063,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0],[0 1 0 0 0]
003066,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003074,[ 0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 0 0 0 6]
003077,[ 0  0  0  0  0  0  0  0  0 12  0  0  0  0  0 24  0  0  6  0  0],[ 0  6  0  0 15]
003083,[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 0 0]
003085,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003088,[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 0 1 1 1]
003092,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003100,[ 0  0  0  0  0  0  0  0  0  0  0  0 16  0  0  4  0  0  0  0  0],[0 6 0 0 4]
003103,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003105,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
003106,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
003107,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
003108,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],[0 1 0 0 0]
003110,[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0],[0 0 0 0 1]
003116,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003122,[ 0  0  0  0  0  8  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0],[0 3 1 0 6]
003124,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0 12 30  0  0  0  0  0],[ 0  7  0  0 14]
003133,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003134,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 2 0 0 1]
003135,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
003138,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 1 0 0 2]
003140,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
003145,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
003146,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
003147,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 0 0 0 1]
003149,[ 0  0  0  0  0 42  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0 13  2  0  6]
003150,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 3 0 0],[0 5 0 0 1]
003155,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003157,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
003159,[ 0  0  0  0  0 15  0  0  0  0  0  0  0  0  0 15  0  0  0  0  0],[ 0  2  0  0 13]
003161,[ 0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  0  0 16  0  0  0],[0 1 0 0 9]
003163,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003165,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003169,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0],[0 1 0 0 0]
003175,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
003181,[0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 1 0 0 5]
003183,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003184,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0]
003185,[ 0  0  0  0  0 14  0  0  0 14  0  0  0  0  0 28  0  0  0  0  0],[ 0  6  0  0 22]
003188,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
003202,[0 0 0 0 0 0 0 0 0 8 0 4 0 0 0 0 8 0 0 0 0],[0 2 0 0 8]
003204,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
003205,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
003211,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0],[0 0 0 1 2]
003214,[ 0  0  0  0  0  0  0 42  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0 11  0  0 10]
003229,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003231,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003233,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003236,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0],[0 1 0 0 2]
003240,[0 0 3 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 5]
003242,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003244,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
003247,[ 0  0  0  0  0 30  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0],[ 0  4  0  2 15]
003253,[0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0],[0 0 2 0 1]
003254,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003259,[ 0  0  0  0  0  5  0  0  0 15  0  5  0  0  0  5  0  0  0  0  0],[0 5 0 1 9]
003260,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 3],[0 2 0 0 4]
003261,[0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 9 0 0 0 0 0],[0 1 0 0 5]
003269,[ 0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 1 0 0 5]
003270,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
003273,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003279,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],[1 0 0 0 0]
003280,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
003282,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 0 1 0 0]
003284,[0 0 0 0 6 0 0 0 0 6 0 6 6 0 0 6 6 0 6 0 0],[ 0  7  0  0 14]
003290,[ 0  0  0  0  0  0  0  0  0  0  0  0  0 15  0 15  0  0  0  0  0],[0 6 0 1 8]
003292,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0],[0 1 0 0 5]
003303,[ 0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  8  0  0  0  0  0],[0 3 0 0 7]
003308,[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
003320,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 42  0  0  0  0  0],[ 0  2  0  3 16]
003330,[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
003331,[ 0  0  0  0  0  0  0 40  0  0  0  0  0  0  0 32  0  0  0  0  0],[ 0  6  0  2 28]
003336,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0],[0 1 0 0 2]
003337,[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
003338,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003339,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003343,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003349,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003350,[0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0],[0 3 0 0 0]
003354,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003355,[0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 3 0 0 0 0 0],[0 5 0 0 1]
003356,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
003359,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
003363,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
003365,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003367,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  7 14 35  0  0  0  0],[ 0  5  0  0 23]
003369,[0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 3],[0 3 0 0 3]
003373,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 1 0 0 0]
003374,[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 2],[0 2 0 0 1]
003379,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003380,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
003382,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 9 0 0 0],[0 3 0 0 3]
003392,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003395,[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0],[0 3 0 0 0]
003396,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 0 0 0 0],[0 6 0 0 0]
003401,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 1]
003406,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 1 2 0 0]
003408,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0],[0 0 0 0 1]
003412,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
003413,[ 0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 4 0 0 6]
003416,[ 0  0  0 36  0  0  0  0  0  0  0  0  0  0  0  6  0  0  0  0  0],[ 0  1  3  0 17]
003417,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0],[0 2 0 0 1]
003420,[ 0  0  0  0  0  0  0 56  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  7  0  0 21]
003421,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003424,[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0],[0 3 0 0 0]
003430,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003433,[0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0],[0 2 0 0 1]
003436,[ 0  0  0  0  0  0  0  0  0  0  0  0  0 15  0 10  5  0  0  0  0],[ 0  2  0  0 13]
003439,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
003441,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003450,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  4  0  4  0  0],[0 4 2 0 4]
003452,[ 0  0  0  0  0  0  0  0  0 36  0  6  0  0  0  0  0  0  0  0  0],[ 0  9  0  0 12]
003466,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 2 0 0 0 0],[0 1 0 0 2]
003477,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003484,[ 0  0  0  0  0  0  0  4  0  0  0  0  0  0  0 16  0  0  0  0  0],[0 6 1 0 3]
003487,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 3],[0 2 0 0 4]
003489,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003491,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003493,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003496,"[  0   0   0   0   0  11   0   0   0   0   0   0   0   0   0 121   0   0
   0   0   0]",[ 0 10  3 12 41]
003497,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],[0 0 0 0 1]
003499,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
003500,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003506,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
003508,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003509,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
003510,[0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 3 0 0 0 0 0],[0 2 0 0 4]
003511,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003522,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003524,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003525,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003529,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
003539,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0 15 15  0  0  0  0  0],[0 6 0 0 9]
003548,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
003549,[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
003550,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
003551,[ 0  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 4 0 0 2]
003555,[ 0  0  0  0  0  0  0  5  0  0  0  0  0  0  0  0 25  0  0  0  0],[ 0  0  0  0 15]
003564,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0],[0 0 0 0 1]
003565,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003575,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  8  0  0],[0 5 0 0 5]
003576,[ 0  0  0  0  0  0 14  0  0  0  0  0  0  0  7 35  0  0  0  0  0],[ 0  4  0  3 21]
003577,[ 0  0  0  0  0 50  0  0  0  0  0 10  0  0  0 50  0  0  0  0  0],[ 0 18  4  0 33]
003585,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
003586,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003588,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
003596,[0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 3]
003599,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003603,[ 0  0  0  0  0  0  0  0  0  0  0  8  0  0  0 64  0  0  0  0  0],[ 0 13  2  0 21]
003604,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1],[0 1 0 0 0]
003605,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
003608,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003609,[0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0],[0 2 0 0 1]
003614,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003621,[0 0 3 0 0 0 6 0 0 0 0 0 0 0 0 3 0 0 0 0 0],[0 2 0 0 4]
003622,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0],[0 0 0 0 3]
003625,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
003627,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003628,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0],[0 1 0 0 2]
003629,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0],[0 3 0 0 3]
003634,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
003635,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003642,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003644,[ 0  0  0  0  0  0  0  0  0 10  0  5  0  0  0 15  0  0  0  0  0],[ 0  5  0  0 10]
003645,[0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 0 0 0 0 0],[0 2 0 0 4]
003646,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003656,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003658,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003662,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 2],[0 1 0 0 2]
003663,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
003664,[ 0  0  0  0  0  0  0  0  0  8  0  0  0  0  0 12  0  0  0  0  0],[0 6 0 0 4]
003671,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003678,[0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 8 0 0 0 0 4],[0 5 0 0 5]
003679,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003681,[ 0  0  0  0  0  0  0  0  0  0  0  0 28  0  0  0  0 28  0  0  0],[ 0 12  0  0 16]
003688,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
003694,[0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 4 4 0 4 0 4],[0 2 0 0 8]
003695,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
003698,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0]
003699,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6 30  0  6  0  0],[ 0  3  4  0 14]
003700,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 30  0  0  0  0  0],[ 0  2  0  0 13]
003704,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003705,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0]
003713,[ 0  0  0  0  0  0  0 56  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  1  0  0 27]
003714,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0]
003732,[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0],[0 2 0 0 1]
003735,[0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 0 0 0 0 0],[0 3 0 0 3]
003740,[0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 9 0 0 0 0 0],[0 1 0 0 5]
003743,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0],[0 0 0 0 1]
003748,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003749,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
003751,[ 0  0  0  0  0  0  0  0  5 10  0  0  0  0  0  5  0  0  5  0  5],[ 0  1  0  2 12]
003752,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0],[0 0 0 0 3]
003758,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[0 1 0 0 0]
003759,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 3],[0 3 0 0 3]
003763,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
003767,[ 0  0  0  0  0  0  0  0  0 30  0  0  0  0  0  0  0  0  0  0  0],[ 0  4  0  0 11]
003773,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
